name,ja-JP,en-US
L_AddTemporary,ﾃﾝﾎﾟﾗﾘ追加,
L_AddFavorite,お気に入り追加,
L_DelFavorite,お気に入り削除,
L_UrlOrId,URL or ID,
MH_AddTemporary,ﾃﾝﾎﾟﾗﾘに追加する情報を入力してください。,
Moviewer_Core_VideoStatus_Delete,DEL,
Moviewer_Core_VideoStatus_New,NEW,
Moviewer_Core_VideoStatus_None,,
Moviewer_Core_VideoStatus_See,SEE,
Moviewer_Core_VideoStatus_Temporary,TEMP,
Moviewer_Nico_Core_NicoSearchType_Mylist,ﾏｲﾘｽﾄ検索,
Moviewer_Nico_Core_NicoSearchType_Tag,ﾀｸﾞ検索,
Moviewer_Nico_Core_NicoSearchType_User,ﾕｰｻﾞ検索,
Moviewer_Nico_Core_NicoSearchType_Word,ﾜｰﾄﾞ検索,
